COLLECTION,COLLECTOR,CONDDATE,CONDEXAM,CONDITION,COPYNO,COPYRIGHT,CREATOR,DATE,DESCRIP,EARLYDATE,EDITION,FILMSIZE,HOMELOC,IMAGEFILE,MAINTDATE,MEDIUM,NOTES,OBJECTID,OBJNAME,PRINTSIZE,PROCESS,PROVENANCE,RECDATE,RECFROM,STATUSDATE,STERMS,TITLE,UDF2,UDF4,UDF5,Date of Photo,UDF9,UPDATED,USED,MAPS URL,Notes,,MAPS URL,Notes,,,Notes,CAT Record URL
John P. Wymer photograph collection,,06/16/2003,"Brewer, Jack",Good,0,,"Wymer, John P.",1948-1952,"Consists of about 4000 images of Washington taken by John P. Wymer, 1948-1952. Wymer divided the District into 57 areas and photographed sample blocks and important buildings. The photographs are captioned with location and date. Search ""WY"".","1,948",,,212 Oversize storage: boxed albums; negatives adjacent.,038\SP 0052.JPG,06/16/2003,Photographic Paper,Finding aid available (map).,SP 0052,"Print, Photographic","3.0"" x 5.0""",b&w,,11/19/1997,John P. Wymer,/ /,,John P. Wymer Photograph Collection,,,,1948,,09/11/2015,,,,,,,,,,
John P. Wymer photograph collection,,07/09/2003,"Brewer, Jack",Excellent,0,,"Wymer, John P.",5/8/1948,"John P. Wymer's description: Riley Spring Bridge, Rock Creek Park. May 8, 1948.","1,948",,,212,043\WY 000101.JPG,07/09/2003,Photographic Emulsion,,WY 0001.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Rock Creek Park--Riley Spring Bridge,Riley Spring Bridge in Rock Creek Park.,,Rock Creek,NW,5/8/1948,,09/11/2015,,,no street view in area,,,no street view in area,,,no street view in area,
John P. Wymer photograph collection,,/ /,,,0,,"Wymer, John P.",5/8/1948,"John P. Wymer's description: Dogwood over Rock Creek at Sherrill Drive. May 8, 1948.","1,948",,,212,043\WY 000201.JPG,04/08/2004,Photographic Emulsion,,WY 0002.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Rock Creek,Dogwood over Rock Creek at Sherrill Drive,Sherrill Drive,Rock Creek,NW,5/8/1948,,09/11/2015,,,no street view in area,,,no street view in area,,,no street view in area,
John P. Wymer photograph collection,,/ /,,,0,,"Wymer, John P.",10/10/1948,"John P. Wymer's Description: House at 1800 N Portal Drive. Oct. 10, 1948 On top of page on which photos 3, 4, 5, and 6 are mounted: AREA BETWEEN ROCK CREEK PARK AND 16TH STREET N.W. THE LARGEST AND MOST PRETENTIOUS HOMES IN AREA 1 ARE TO BE FOUND HERE.","1,948",,,212,043\WY 000301.JPG,04/08/2004,Photographic Emulsion,,WY 0003.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,House at 1800 N Portal Drive,North Portal Drive,Rock Creek,NW,10/10/1948,,09/11/2015,,"https://www.google.com/maps/place/1800+N+Portal+Dr+NW,+Washington,+DC+20012/@38.9897227,-77.0398903,3a,75y,356.92h,87.53t/data=!3m7!1e1!3m5!1sDHFoLrc7S3HS2ye-s8vNuA!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DDHFoLrc7S3HS2ye-s8vNuA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D214.89781%26pitch%3D0!7i13312!8i6656!4m2!3m1!1s0x89b7c8c210a10d13:0x1bf4fc13c610ae9f",,,"https://www.google.com/maps/place/1800+N+Portal+Dr+NW,+Washington,+DC+20012/@38.9897227,-77.0398903,3a,75y,356.92h,87.53t/data=!3m7!1e1!3m5!1sDHFoLrc7S3HS2ye-s8vNuA!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DDHFoLrc7S3HS2ye-s8vNuA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D214.89781%26pitch%3D0!7i13312!8i6656!4m2!3m1!1s0x89b7c8c210a10d13:0x1bf4fc13c610ae9f",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=58691769-E186-4243-AD98-770605954610;type=102
John P. Wymer photograph collection,,/ /,,,0,,"Wymer, John P.",5/8/1948,"John P. Wymer's description: East Beach Drive looking south from North Portal Drive. May 8, 1948. On top of page on which photos 3, 4, 5, and 6 are mounted: AREA BETWEEN ROCK CREEK PARK AND 16TH STREET N.W. THE LARGEST AND MOST PRETENTIOUS HOMES IN AREA 1 ARE TO BE FOUND HERE.","1,948",,,212,043\WY 000401.JPG,04/08/2004,Photographic Emulsion,,WY 0004.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,East Beach Drive looking south from North Portal Drive,East Beach Drive,Rock Creek,NW,5/8/1948,,09/11/2015,,"https://www.google.com/maps/@38.9882058,-77.0418996,3a,75y,232.62h,74.66t/data=!3m7!1e1!3m5!1syP1862iaUqtTq3MEluegkQ!2e0!5s20090701T000000!7i13312!8i6656",,,"https://www.google.com/maps/@38.9882058,-77.0418996,3a,75y,232.62h,74.66t/data=!3m7!1e1!3m5!1syP1862iaUqtTq3MEluegkQ!2e0!5s20090701T000000!7i13312!8i6656",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=60C7AAD5-9121-4E46-9E3F-962615308510;type=102
John P. Wymer photograph collection,,/ /,,,0,,"Wymer, John P.",10/10/1948,"John P. Wymer's Description: House on West Beach Drive north of Kalmia Road. October 10, 1948. On top of page on which photos 3, 4, 5, and 6 are mounted: AREA BETWEEN ROCK CREEK PARK AND 16TH STREET N.W. THE LARGEST AND MOST PRETENTIOUS HOMES IN AREA 1 ARE TO BE FOUND HERE.","1,948",,,212,043\WY 000501.JPG,04/08/2004,Photographic Emulsion,,WY 0005.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,House on West Beach Drive north of Kalmia Road.,Kalmia Road,Rock Creek,NW,10/10/1948,,09/11/2015,,"https://www.google.com/maps/@38.9865335,-77.0427705,3a,75y,273.43h,79.81t/data=!3m7!1e1!3m5!1snNT6o1czXBewQuy25fZotw!2e0!5s20140801T000000!7i13312!8i6656",,,"https://www.google.com/maps/@38.9865335,-77.0427705,3a,75y,273.43h,79.81t/data=!3m7!1e1!3m5!1snNT6o1czXBewQuy25fZotw!2e0!5s20140801T000000!7i13312!8i6656",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=AE80A557-4FB3-4A0A-A0A2-152247946087;type=102
John P. Wymer photograph collection,,/ /,,,0,,"Wymer, John P.",10/10/1948,"John P. Wymer's description: House and grounds at 17th St and Kalmia Road, NW. October 10, 1948. On top of page on which photos 3, 4, 5, and 6 are mounted: AREA BETWEEN ROCK CREEK PARK AND 16TH STREET N.W. THE LARGEST AND MOST PRETENTIOUS HOMES IN AREA 1 ARE TO BE FOUND HERE.","1,948",,,212,043\WY 000601.JPG,04/08/2004,Photographic Emulsion,,WY 0006.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,"House and Grounds at 17th Street and Kalmia Road, NW.",Seventeenth Street,Rock Creek,NW,10/10/1948,,09/11/2015,,"https://www.google.com/maps/@38.9857132,-77.0401661,3a,75y,98.21h,73.54t/data=!3m7!1e1!3m5!1sBZQiiYDnP8XQjZO71YCHUA!2e0!5s20090701T000000!7i13312!8i6656",,,"https://www.google.com/maps/@38.9857132,-77.0401661,3a,75y,98.21h,73.54t/data=!3m7!1e1!3m5!1sBZQiiYDnP8XQjZO71YCHUA!2e0!5s20090701T000000!7i13312!8i6656",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=A5081124-4C08-47D3-8E1D-269959971110;type=102
John P. Wymer photograph collection,,07/09/2003,"Brewer, Jack",Excellent,0,,"Wymer, John P.",2/6/1949,"John P. Wymer's description: Marjorie Webster Junior College, 7775 17th St. NW. February 6, 1949 In center of page on which photos 7, 8, and 9 are mounted: VIEWS OF THE EXTREME NORTHERN END OF 16TH STREET N.W. THIS IS ONE OF WASHINGTON'S MOST IMPORTANT AND MOST ATTRACTIVE STREETS. ITS SOUTHERN END IS AT THE WHITE HOUSE AND ITS NORTHERN END IS AT BLAIR CIRCLE.","1,949",,,212,043\WY 000701.JPG,07/09/2003,Photographic Emulsion,,WY 0007.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Marjorie Webster Junior College,Marjorie Webster Junior College at 7775 17th Street NW.,Seventeenth Street,Shepherd Park,NW,2/6/1949,2745F,09/11/2015,,"https://www.google.com/maps/@38.9843706,-77.0394624,3a,75y,70.47h,85.97t/data=!3m7!1e1!3m5!1sPS9ogt7PHucxXI79fkb_jw!2e0!5s20140801T000000!7i13312!8i6656!6m1!1e1",,,"https://www.google.com/maps/@38.9843706,-77.0394624,3a,75y,70.47h,85.97t/data=!3m7!1e1!3m5!1sPS9ogt7PHucxXI79fkb_jw!2e0!5s20140801T000000!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=52739459-41A0-4503-9439-922528038070;type=102
John P. Wymer photograph collection,,/ /,,,0,,"Wymer, John P.",10/10/1948,"John P. Wymer's description: Houses, west side of 16th Street NW, opposite Northgate Avenue. October 10, 1948. In center of page on which photos 7, 8, and 9 are mounted: VIEWS OF THE EXTREME NORTHERN END OF 16TH STREET N.W. THIS IS ONE OF WASHINGTON'S MOST IMPORTANT AND MOST ATTRACTIVE STREETS. ITS SOUTHERN END IS AT THE WHITE HOUSE AND ITS NORTHERN END IS AT BLAIR CIRCLE.","1,948",,,212,043\WY 000801.JPG,04/08/2004,Photographic Emulsion,,WY 0008.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,"Houses, west side of 16th Street NW, opposite Northgate Avenue.",Sixteenth Street,,NW,10/10/1948,,09/11/2015,,"https://www.google.com/maps/@38.9882218,-77.0360996,3a,75y,254.16h,83.79t/data=!3m7!1e1!3m5!1sQqSwbEbzrv1zM5UxYRt3xw!2e0!5s20140701T000000!7i13312!8i6656!6m1!1e1",,,"https://www.google.com/maps/@38.9882218,-77.0360996,3a,75y,254.16h,83.79t/data=!3m7!1e1!3m5!1sQqSwbEbzrv1zM5UxYRt3xw!2e0!5s20140701T000000!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=B99EAB28-008A-43FC-BD79-203546048576;type=102
John P. Wymer photograph collection,,07/09/2003,"Brewer, Jack",Excellent,0,,"Wymer, John P.",10/8/1948,"John P. Wymer's description: New houses, near 16th Street and Western Avenue NW. October 8, 1948. In center of page on which photos 7, 8, and 9 are mounted: VIEWS OF THE EXTREME NORTHERN END OF 16TH STREET N.W. THIS IS ONE OF WASHINGTON'S MOST IMPORTANT AND MOST ATTRACTIVE STREETS. ITS SOUTHERN END IS AT THE WHITE HOUSE AND ITS NORTHERN END IS AT BLAIR CIRCLE.","1,948",,,212,040\WY 000901.JPG,07/09/2003,Photographic Emulsion,,WY 0009.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,New houses under construction near 16th Street and Western Avenue NW.,Sixteenth Street,North Gate,NW,10/8/1948,,09/11/2015,,,no clue where this is,,,no clue where this is,,,no clue where this is,
